-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.030,  0.214
-183.800, 80.195, 0.065,  0.247
-183.798, 80.189, 0.177,  0.280
-183.796, 80.181, 0.256,  0.313
-183.792, 80.170, 0.333,  0.346
-183.787, 80.157, 0.400,  0.379
-183.781, 80.140, 0.494,  0.412
-183.773, 80.122, 0.541,  0.445
-183.762, 80.104, 0.589,  0.478
-183.749, 80.083, 0.630,  0.511
-183.734, 80.061, 0.727,  0.544
-183.717, 80.035, 0.805,  0.577
-183.699, 80.007, 0.887,  0.610
-183.681, 79.977, 0.958,  0.643
-183.663, 79.946, 0.995,  0.676
-183.645, 79.914, 1.023,  0.709
-183.627, 79.881, 1.053,  0.742
-183.608, 79.848, 1.086,  0.775
-183.589, 79.813, 1.120,  0.808
-183.570, 79.778, 1.154,  0.841
-183.550, 79.741, 1.187,  0.874
-183.530, 79.704, 1.217,  0.907
-183.510, 79.666, 1.245,  0.940
-183.490, 79.627, 1.270,  0.973
-183.469, 79.587, 1.293,  1.006
-183.448, 79.547, 1.314,  1.039
-183.427, 79.507, 1.332,  1.072
-183.406, 79.466, 1.350,  1.105
-183.384, 79.425, 1.365,  1.138
-183.362, 79.383, 1.380,  1.171
-183.341, 79.341, 1.393,  1.204
-183.319, 79.299, 1.405,  1.237
-183.296, 79.256, 1.416,  1.270
-183.274, 79.213, 1.427,  1.303
-183.251, 79.170, 1.436,  1.336
-183.229, 79.127, 1.446,  1.369
-183.206, 79.083, 1.454,  1.402
-183.183, 79.039, 1.463,  1.435
-183.160, 78.996, 1.471,  1.468
-183.137, 78.951, 1.478,  1.501
-183.114, 78.907, 1.486,  1.534
-183.090, 78.863, 1.493,  1.567
-183.067, 78.818, 1.500,  1.600
-183.044, 78.773, 1.507,  1.633
-183.020, 78.728, 1.513,  1.666
-182.997, 78.683, 1.520,  1.699
-182.973, 78.637, 1.526,  1.732
